Total Backlinks,Domain Rating,URL Rating,Referring Domains,Referring Page URL,Referring Page Title,Internal Links Count,External Links Count,Link URL,TextPre,Link Anchor,TextPost,Type,Backlink Status,First Seen,Last Check,Day Lost,Language,Traffic (desc),Keywords,Js rendered,Linked Domains
2,5,5,0,https://slembkathmandu.org/news/3151/enrolment-of-foreign-students-for-degree-programmes-at-general-sir-john-kotelawa,"Enrolment of foreign students for Degree Programmes at General Sir John Kotelawala Defence University Academic Year 2020-2021 - Embassy of the Democratic Socialist Republic of Sri Lanka in Kathmandu, Nepal",47,19,http://www.kdu.ac.lk/,More details can be obtained from the University website,www.kdu.ac.lk,,"Dofollow, Content",,9/10/2020 23:22,7/30/2021 19:15,,en,8,15,,12
1,84,13,2,https://anthropo.umontreal.ca/repertoire-departement/doctorants/,Répertoire du Département - Département d'anthropologie - Université de Montréal,72,26,http://ir.kdu.ac.lk/handle/345/1821,Messages[Full Text Article]. KDU Library E-Repository. Retrieved from,http://ir.kdu.ac.lk/handle/345/1821,,"Dofollow, Content",,7/15/2020 13:14,8/9/2021 19:36,,,8,28,,21
1,78,23,31,https://www.defensenews.com/unmanned/2021/07/13/who-is-buying-israeli-counter-drone-systems-in-south-asia/,Who is buying Israeli counter-drone systems in South Asia?,101,35,http://ir.kdu.ac.lk/bitstream/handle/345/2060/Abstract Book Final Version_49.pdf?sequence=1&isAllowed=y,Force planes. Sri Lankan media and defense officials have also,expressed concern,about rising drone threats in recent years.,"Dofollow, Content",,7/14/2021 2:38,8/18/2021 10:19,,en,8,118,,26
2,25,13,6,https://eduid.at/entities/idp/interfed,eduID.at Verzeichnis,3,7411,http://www.kdu.ac.lk/,,Kotelawala Defence University,,Dofollow,,4/18/2020 16:22,8/18/2021 10:03,,,7,477,,4180
5,38,13,3,http://www.stuartxchange.org/Libas.html,"Libas, Spondias pinnata, COMMON HOG PLUM : Philippine Medicinal Herbs / Alternative Medicine",23,61,http://www.kdu.ac.lk/southern_campus/images/documents/symposium/symposium2012/papers/ms/mts/Glycaemic_Control.pdf,,Glycaemic Control by the Aqueous Bark Extract of Spondias Pinnata Against Alloxan Induced Diabetes Mellitus,"/ A P Attanayake*, K A P W Jayatilake, L",Dofollow,,11/16/2020 21:48,8/15/2021 1:41,,,7,2,,43
10,25,16,13,https://www.govdoc.lk/job-vacancies-at-general-sir-john-kotelawala-defence-university-hospital/,Job Vacancies at General Sir John Kotelawala Defence University Hospital,93,9,http://www.kdu.ac.lk/,Source :,www.kdu.ac.lk,,"Dofollow, Content",,10/24/2017 2:25,8/17/2021 4:13,,en,6,20,,7
2,0,2,0,https://portal-god.com/kdu-moodle-login-1988,Kdu Moodle Login Page,19,7,http://lms.kdu.ac.lk/lms/,,"19, 20, 21, Today Wednesday, 22 January 22, 23, 24, 25. 26, 27, 28, 29, 30, 31. You are not logged in. (Log in). moodlelogo. Switch to the standard theme.",,Nofollow,,6/14/2020 19:05,8/13/2021 12:29,,en,6,12,,6
1,79,17,8,https://www.bcs.org/membership/member-communities/student-chapters/,Student chapters | BCS,53,86,https://www.kdu.ac.lk/,,Kotelawala Defence University,", Sri Lanka",Dofollow,,4/6/2021 4:05,8/13/2021 5:44,,en,5,24,,52
4,30,9,1,http://portal-db.live/kdu-moodle,Kdu Moodle Login,36,8,http://lms.kdu.ac.lk/lms/,,The General Sir John Kotelawala Defence University,,"Nofollow, Image, Content",,5/25/2021 21:03,5/29/2021 17:03,,en,4.7,6,,6
4,0,0,0,http://staffslogin.com/signup/Moodle-Kdu-1,Moodle Kdu,59,13,http://lms.kdu.ac.lk/lms/,,The General Sir John Kotelawala Defence University,,"Nofollow, Image",,7/14/2021 11:08,8/4/2021 21:09,,en,4.7,2,,8
2,9,6,0,https://www.contacts.lk/contact/14359/kdu-(kotelawala-defence-university)-hospital-,Contact number for KDU (Kotelawala Defence University) hospital ?? contacts.lk,52,16,https://www.kdu.ac.lk/uhkdu,Web site:,https://www.kdu.ac.lk/uhkdu,,Dofollow,,2/6/2021 10:01,8/3/2021 23:49,,en,4,22,,9
2,67,15,7,https://technical.edugain.org/isFederatedCheck/Organisations/,isFederated Check - Known Federations,24,8694,http://www.kdu.ac.lk/,,General Sir John Kotelawala Defence University (KDU),", eduGAIN support contact: gayanlb@kdu.ac.lk",Dofollow,,5/2/2020 9:15,6/4/2021 23:17,,en,3.9,103,,4816
2,61,11,2,https://loonadministratie.vinddirect.nl/,loonadministratie,15,170,http://www.kdu.ac.lk/conference2014/images/documents/ProgrammeBook.pdf,,PROgRAMME bOOK kdu.ac.lk,,Dofollow,,4/28/2019 13:56,8/17/2021 18:40,,nl,3.8,7,,93
1,7,8,2,https://virginiapolitics.org/online/2020/3/23/the-bri-and-the-string-of-pearls-a-challenge-to-the-us-led-global-order,The BRI and the String of Pearls: A Challenge to the U.S.-Led Global Order — Virginia Review of Politics,34,28,http://ir.kdu.ac.lk/bitstream/handle/345/1728/021.pdf?sequence=1&isAllowed=y,lease of their strategically significant port to China. Sri Lanka,is,the “gateway to resource rich regions of [the] Middle East,"Dofollow, Content",,3/29/2020 13:50,8/12/2021 22:12,,en,3.7,29,,19
4,70,13,3,https://wiki.archiveteam.org/index.php/ArchiveBot/Educational_institutions/list,ArchiveBot/Educational institutions/list - Archiveteam,4,29737,http://www.kdu.ac.lk/,http://www.kdu.ac.jp/ | label = Kanagawa Dental University http://www.kdu.ac.kr/,http://www.kdu.ac.lk/,http://www.kdu.edu.my/ http://www.kdu.md/,"Nofollow, Content",,2/14/2021 19:21,8/17/2021 19:49,,,3.4,299,,15753
4761,2,7,1,http://192.248.104.12/,KDU-ER Home,45,4,http://www.kdu.ac.lk/,Library copyright © 2017,"General Sir John Kotelawala Defence University, Sri Lanka",,Dofollow,,8/14/2020 9:38,8/18/2021 14:34,,,3.1,11,,1
46,2,22,23,https://www.lankauniversity-news.com/p/sri-lanka-university-ranking.html,Sri Lanka University News Education Campus School Latest Updates ????? ???? ????? ???????? ?????: University Ranking,372,148,http://www.kdu.ac.lk/,,General Sir John Kotelawala Defence University,,Dofollow,,5/11/2018 18:03,8/12/2021 1:38,,en,2.5,18,,76
1,56,14,5,https://www.futuredirections.org.au/publication/the-maritime-relations-of-india-the-maldives-and-sri-lanka-part-two/,"The Maritime Relations of India, the Maldives and Sri Lanka: Part Two - Future Directions International",41,36,http://ir.kdu.ac.lk/bitstream/handle/345/1705/001speech.pdf?sequence=1&isAllowed=y,,More,than US$18 trillion ($23.7 trillion) worth of goods are transported,"Dofollow, Content",,5/9/2021 7:09,8/17/2021 16:57,,en,2.3,118,,35
2,36,14,9,https://metadata.swamid.se/all-idp.html,eduGAIN - IdP,148,7440,http://www.kdu.ac.lk/,,General Sir John Kotelawala Defence University (KDU),,Dofollow,,4/23/2021 14:59,8/17/2021 9:28,,en,2.1,42,,4162
1,11,6,0,https://www.slhcpakistan.org/scholarships/,Scholarships – High Commission of Sri Lanka in Pakistan,35,21,https://www.kdu.ac.lk/,See more details at,https://www.kdu.ac.lk/,,Dofollow,,2/24/2020 0:47,8/18/2021 16:12,,en,1.4,5,,15
2,5,12,6,https://logindrive.com/kdu-email,Kdu Email Login,30,10,http://ir.kdu.ac.lk/login,,Sign in - KDU-ER Repository - General Sir John Kotelawala ...,,Nofollow,,4/8/2021 0:52,8/17/2021 15:55,,en,1.4,7,,6
12,36,8,0,http://www.moha.gov.lk/web/index.php?option=com_content&view=article&id=370:master-s-and-bachelor-s-degree-program-at-kdu&catid=18&Itemid=178&lang=en,Master's and Bachelor's Degree Program at KDU,62,9,https://www.kdu.ac.lk/,visit the official website of Sir Jhon Kotelawala Defence University-,https://www.kdu.ac.lk/,,"Dofollow, Content",,1/27/2020 7:36,8/13/2021 2:30,,en,1.1,54,,6
4,29,15,10,http://alexatop1m.kritih.com/List-158.html,"best websites, top websites, website ranking, top 10 websites, top sites",204,7573,http://kdu.ac.lk/default.htm,,kdu.ac.lk,,Nofollow,,5/25/2020 18:07,5/5/2021 1:12,,,1.1,27,,5122
3,3,7,2,https://www.militaryranks.info/2020/08/top-10-military-academies.html,Most Prestigious Military Academies in the World | Top 10 Defence Academies,77,59,http://www.kdu.ac.lk/,,www.kdu.ac.lk,,"Dofollow, Content",,9/20/2020 16:44,8/12/2021 1:32,,en,0.98,16,,22
4,4,5,0,https://studybarta.com/top-universities-in-sri-lanka/,Top Universities in Sri Lanka | Sri Lanka Universities Ranking 2020,113,84,http://www.kdu.ac.lk/,,General Sir John Kotelawala Defence University,,"Dofollow, Content",,5/31/2019 17:22,8/12/2021 21:27,,en,0.96,28,,52
48,10,8,4,http://www.gb-pic.org/img-amaro11-5183.htm,"AMARO11 - GB-PIC.ORG immer aktuelle GB Bilder, GB, Gästebuch Bilder, Kwick, Jappy, GB Pics",17,2611,http://kdu.ac.lk/index.php?option=com_k2&view=itemlist&task=user&id=1393,cialis without a prescriptioncialis prescription cialis non prescription cialiscialis sale,cialis 10mg,cheap tadalafilcialis without a prescription generic cialis tadalafil best pricecialis,Nofollow,,1/30/2020 16:41,8/15/2021 0:06,,de,0.75,1,,2012
8,26,8,0,https://loginhubs.com/kdu-moodle-login/?posturl=96735,Kdu Moodle Login - Sign in to Your Account,36,18,http://lms.kdu.ac.lk/lms/,,The General Sir John Kotelawala Defence University,,"Nofollow, Content",,8/2/2021 10:28,8/2/2021 10:28,,en,0.73,15,,11
6,5,11,5,https://topusefulinfo.com/john-kotelawala-defence-university-vacancies/,General Sir John Kotelawala Defence University Vacancies 2021 - jobs,55,11,https://www.kdu.ac.lk/,For more Details :,https://www.kdu.ac.lk,,"Nofollow, Content",,6/20/2021 20:23,8/18/2021 6:15,,en,0.69,10,,8
2,75,11,0,https://www.lawinsider.com/dictionary/genetic-data,genetic data Definition: 289 Samples | Law Insider,74,27,http://kdu.ac.lk/ekdu/images/acts/Data_Protection_Bill_3-10-2019_-_Amended_Draft_FINAL_-_LD_Release.pdf,,Sample 1,,Dofollow,,4/16/2021 11:07,8/2/2021 18:48,,en,0.68,1,,19
3,51,7,0,http://www.57883.net/link/Alexa_81.html,"57883.net - Alexa website ranking for Thursday, Page 81",197,8719,http://kdu.ac.lk/,,kdu.ac.lk,,Dofollow,,6/3/2020 9:48,7/5/2021 4:15,,,0.59,41,,5330
2,32,8,0,https://slcgsydney.org/2020/08/28/enrolment-of-foreign-students-and-students-with-foreign-qualifications-as-day-scholars-for-degree-programmes-at-general-sir-john-kotelawala-defence-university-kdu-academic-year-2020-2021/,Enrolment of Foreign Students and Students with Foreign Qualifications as Day Scholars for Degree Programmes at General Sir John Kotelawala Defence University (KDU) – Academic Year 2020/2021 – Consulate General of the Democratic Socialist Republic of Sri Lanka,42,18,http://www.kdu.ac.lk/,,www.kdu.ac.lk,.,"Dofollow, Content",,8/30/2020 15:34,8/1/2021 22:47,,en,0.52,19,,14
4,52,10,1,https://www.addresources.org/kdu-moodle,Kdu Moodle Portal - AddResources,64,8,http://lms.kdu.ac.lk/lms/,,The General Sir John Kotelawala Defence University,,Nofollow,,5/4/2021 9:48,8/18/2021 4:18,,,0.42,6,,6
3,56,10,1,https://voenniuchilishta.start.bg/,?????? ??????? ? ???????? Start.bg - ??????? ?? ???????? ??????? ? ???????? ? ???????? ? ?? ?????,440,404,https://www.kdu.ac.lk/,,Kotelawala Defence University (en),,Dofollow,,8/5/2020 1:13,8/14/2021 0:31,,,0.42,6,,164
1,74,11,0,https://www.wappalyzer.com/technologies/ecommerce/ecwid/,Websites using Ecwid - Wappalyzer,49,17,https://www.kdu.ac.lk/,kdu.ac.lk,,,Nofollow,,4/15/2021 19:29,7/17/2021 16:21,,en,0.37,8,,16
6,9,17,15,https://uplankajobs.com/2021/05/14/calling-applications-for-officer-cadets-2021-2022sir-john-kotelawala-defence-university/,Calling Applications for Officer Cadets 2021: KDU | Uplankajobs.com,70,10,http://enlistment.kdu.ac.lk/,,Online,,Dofollow,,5/18/2021 13:37,8/18/2021 0:41,,en,0.36,13,,5
2,36,8,0,https://www.findit.lk/general-sir-john-kotelawala-defence-university,"General Sir John Kotelawala Defence University - latest offers, promotions, deals, and jobs",19,6,http://www.kdu.ac.lk/,,http://www.kdu.ac.lk/,,Dofollow,,7/15/2021 23:49,8/14/2021 6:23,,en,0.26,2,,4
1,17,8,1,https://lk.login-vp.com/kdu-wifi,Kdu Wifi Login,36,14,http://students.kdu.ac.lk/students/wifi_reg/,,KDU WI-FI REGISTRATION FORM FOR KDU STAFF AND STUDENTS,,"Nofollow, Image",,5/26/2021 17:59,8/8/2021 7:42,,en,0.26,5,,11
17,0,2,0,https://loginfinder.co.uk/k-logins/kdu-moodle-login.html,Kdu Moodle Login — Sign In to Your Account,75,50,http://lms.kdu.ac.lk/lms/,,The General Sir John Kotelawala Defence University,,"Nofollow, Content",,1/19/2021 3:51,8/8/2021 2:34,,en,0.24,3,,27
2,29,8,0,http://www.rticommission.lk/web/index.php?option=com_content&view=article&id=69&Itemid=190&lang=en,Right to Information Commission of Sri Lanka - Media Focus on RTI,130,713,http://ir.kdu.ac.lk/bitstream/handle/345/1678/019.pdf?sequence=1,11,Health Information Privacy and RTI A case study of India and Sri Lanka,,Dofollow,,9/3/2018 2:54,8/13/2021 12:04,,en,0.23,6,,71
4,21,8,1,https://profchandra.org/2017/10/2017-8-3-sir-john-kotelawala-defence-university/,"2017-8-3 : Sir John Kotelawala Defence University, Sri Lanka | Professor Chandra Wickramasinghe",31,8,http://www.kdu.ac.lk/,Professor Chandra Wickramasinghe’s address to the,Sir John Kotelawala Defence University,", Sri Lanka upon the award of an Honorary Professorship","Dofollow, Content",,10/28/2019 14:21,7/20/2021 12:49,,en,0.21,1,,5
5,80,12,1,https://www.bauing.uni-kl.de/fww/storage/dateisammlungen/aktuell/,Aktuelles - TU Kaiserslautern,240,69,http://www.kdu.ac.lk/workshop-on-flood-risk-management/,,http://www.kdu.ac.lk/workshop-on-flood-risk-management/,,Dofollow,,5/30/2020 0:18,8/11/2021 15:21,,de,0.18,15,,39
3,58,10,0,https://www.university-directory.eu/Sri-Lanka/General-Sir-John-Kotelawala-Defence-University.html,General Sir John Kotelawala Defence University | TOP ranked University | University Directory,90,8,http://www.kdu.ac.lk/,,General Sir John Kotelawala Defence University,,Nofollow,,3/17/2017 22:29,11/30/2020 20:41,,en,0.18,10,,6
1,22,7,0,https://www.sri-lanka-board.de/threads/the-early-years-of-motoring-in-british-ceylon.18044/,The Early Years of Motoring in British Ceylon | Sri Lanka Board,50,31,http://www.kdu.ac.lk/department-of-marine-engineering/prjct/88-menu/157-general-s-car,Quelle + kompletter Artikel:,www.kdu.ac.lk,,"Nofollow, Content, UGC",,6/21/2021 6:03,8/2/2021 1:21,,en,0.14,14,,22
1,41,14,6,https://www.cssr.news/oldnews-it/2014/06/17/papa-ha-nominato-preside-della-pontificia-accademia-di-teologia-il-p-real-tremblay/,Papa ha nominato Preside della Pontificia Accademia di Teologia il P. Réal Tremblay | Old News_Italian,19,1603,http://www.kdu.ac.lk/faculty-of-allied-health-sciences/index.php?option=com_k2&view=itemlist&task=user&id=107684,,cheap,,"Nofollow, UGC",,5/18/2018 11:05,8/16/2021 7:32,,it,0.12,8,,1028
4,24,9,2,http://www.dahe.gov.bt/index.php/division/sssd-mandates/partner-universities-and-colleges,Department of Adult and Higher Education - Partner Universities and Colleges,33,161,http://www.kdu.ac.lk/,General Sir John Kotelawala Defence University (,kdu.ac.lk,),Dofollow,,5/15/2020 20:41,8/15/2021 17:27,,en,0.08,9,,92
1,74,14,4,https://www.coursehero.com/sitemap/schools/73325-General-Sir-John-Kotelawala-Defence-University/,General Sir John Kotelawala Defence University - Course Hero,146,22,https://www.kdu.ac.lk/,,"School Info General Sir John Kotelawala Defence University has 30 departments in Course Hero with 1,205 documents and 7 answered questions.",,Dofollow,,11/4/2019 22:03,8/16/2021 10:26,,en,0.08,14,,13
3,2,4,0,http://www.weblists.pw/domain-list-341,Alexa top domain list || page 341,735,1465,http://kdu.ac.lk/,,kdu.ac.lk,,Nofollow,,1/5/2021 12:38,7/30/2021 22:12,,,0.07,3,,748
3,4,6,1,http://betulgedik.com/moda/perada-bir-gun/,Pera’da bir Gün – Betül Gedik,17,7235,http://www.kdu.ac.lk/faculty-of-allied-health-sciences/index.php?option=com_k2&view=itemlist&task=user&id=105059,"Do My Max S Restaurant Problem Solving For Safe ,",The sand with the gentle surf rolling up onto,", Best Place To Buy Research Paper Order Now Essay",Nofollow,,5/11/2018 14:31,8/12/2021 6:12,,tr,0.06,10,,1530
4,70,13,3,https://www.cna.org/news/2015,News and Information | CNA,89,1194,http://www.kdu.ac.lk/notices/news/478-general-sir-john-kotelawala-defence-university-launches-two-academic-publications-in-the-fields-of-strategic-studies-and-law,Sri Lanka's,General Sir John Kotelawala Defence University,publishes United States-China-India Strategic Triangle in the Indian Ocean Region,Dofollow,,10/18/2015 4:33,8/12/2021 1:55,,,0.06,9,,406
1,10,6,0,https://motorshowpr.com/noticias/tesoros-en-el-junker-cementerio-mopar-en-el-centro-de-la-isla/,Motor Show – Tesoros en el Junker: Cementerio MOPAR en el centro de la Isla,47,991,http://www.kdu.ac.lk/faculty-of-allied-health-sciences/index.php?option=com_k2&view=itemlist&task=user&id=48305,,money order now disulfiram store,,"Nofollow, UGC",,7/9/2020 23:04,8/15/2021 1:42,,es,0.05,0,,705
57,3,5,0,https://www.companies-list.com/company-act-sri-lanka-pdf/,Company Act Sri Lanka Pdf,77,55,http://ir.kdu.ac.lk/bitstream/handle/345/1364/law-014.pdf?sequence=1&isAllowed=y,,http://ir.kdu.ac.lk/bitstream/handle/345/1364/law-014.pdf?sequence=1&isAllowed=y,,Nofollow,,7/1/2021 3:50,8/11/2021 15:23,,en,0.04,2,,36
2,1,10,5,https://www.hellixit.com/,Home | HELLIX IT,9,16,https://www.kdu.ac.lk/,,General Sir John Kotelawala Defence University,,"Dofollow, Image",,4/18/2021 4:54,8/18/2021 11:58,,en,0.04,11,,12
3,15,8,1,http://www.msidevs.net/top/Top1M430000.html,,0,16682,http://kdu.ac.lk/,hombiz.com pop-rock.com,kdu.ac.lk,birasblog-birasblog.blogspot.com.br atnel.pl,"Dofollow, Content",,5/30/2020 2:59,8/17/2021 9:07,,,0.03,44,,10647
6,30,11,3,https://websitelists.in/website-list-20.html,"website list, websitelists, most useful websites in india, useful websites for students, study websites for students, free listing",230,10049,http://kdu.ac.lk/,,kdu.ac.lk,,Nofollow,,5/23/2020 22:33,7/25/2021 7:14,,,0.03,10,,5188
1,13,6,0,https://www.achsi.org/our-global-network/organisational-members/sri-lanka/,ACHS International,68,15,https://www.kdu.ac.lk/uhkdu/,,ACHS Website Button,,"Dofollow, Image",,8/17/2021 4:02,8/17/2021 4:02,,en,0.03,0,,10
2,40,5,0,https://rainbowpages.lk/other/universities/general-sir-john-kotalawala-defence-university-2/,General Sir John Kotalawala Defence University - Sri Lanka Telecom Rainbowpages,12,16,http://www.kdu.ac.lk/,,www.kdu.ac.lk,,Dofollow,,3/22/2020 17:48,7/5/2021 8:50,,en,0.03,1,,11
2,80,15,8,https://thediplomat.com/2016/12/sri-lankas-quest-for-strategic-prominence-in-the-indian-ocean/,Sri Lanka’s Quest for Strategic Prominence in the Indian Ocean – The Diplomat,104,42,http://www.kdu.ac.lk/proceedings/irc2015/2015/dss-011.pdf,"Lanka, as earlier, is to establish a state of relative",equilibrium,in its relations with India and China. On more than,"Dofollow, Content",,4/19/2018 16:28,8/16/2021 17:32,,en,0.02,4,,20
6,0,2,2,https://www.mathspeople.com/2021/05/applications-for-kdu-2021-2022-intake.html,Applications For KDU Officer Cadets 2021/2022 Intake,57,14,http://enlistment.kdu.ac.lk/,,ONLINE APPLICATION>>>,,"Nofollow, Content",,5/12/2021 5:41,8/15/2021 19:26,,en,0.01,2,,9
27217,49,27,50,http://airforce.lk/pages.php?pages=katunayake,Sri Lanka Air Force Base Katunayake | Sri Lanka Air Force,12,9,https://www.kdu.ac.lk/,,,,"Dofollow, Image",,11/19/2020 11:22,8/18/2021 3:55,,,0.01,1,,7
4,28,9,1,https://www.routedmagazine.com/family-reunification-minors,Family reunification of unaccompanied minors | Routed Magazine,38,18,http://www.kdu.ac.lk/department-of-strategic-studies/staff/academic/14-staff/183-niruka-sanjeewani,,Ms D.G.Niruka Sanjeewani,,Dofollow,,2/20/2020 8:18,8/13/2021 22:05,,en,0.01,5,,13
2,57,10,2,https://roar.media/english/life/in-the-know/why-are-destructive-fishing-methods-still-being-practised-in-sri-lanka,Why Are Destructive Fishing Methods Still Being Practised In Sri Lanka?,14,11,http://ir.kdu.ac.lk/bitstream/handle/345/1734/029.pdf?sequence=1&isAllowed=y,issue that threatens the sustainability of the world’s oceans. It,can be defined,"as any fishing activity which is non-compliant with national, regional","Nofollow, Content",,9/21/2020 14:46,8/12/2021 6:41,,en,0.01,2,,9
